Nome,Coordenador,Ano,Participantes,Parceria com escola?,Público alvo,Eventos relacionados,Frequência das atividades,Disciplina atrelada,Impactos,Atividade,Periodo,Atividade_Periodo
Introdução à IoT com Arduino,Marcel William Rocha da Silva,2024,20,Não,Alunos da UFRRJ,,Semestral,AC785 - LECIONAÇÃO DE CURSOS DE EXTENSÃO I,,Lecionação de Cursos de Extensão I,2024,Lecionação de Cursos de Extensão I - 2024
AC785 - LECIONAÇÃO DE CURSOS DE EXTENSÃO I,Juliana Zamith,2025-01,103,Não,qualquer aluno interessado no tema - O Uso de Ferramentas de IA no ambiente universitário,"Curso de 5 dias, 10h.",Evento Único,AC785 - LECIONAÇÃO DE CURSOS DE EXTENSÃO I,"O curso foi executado conforme o cronograma, com alta participação e engajamento dos alunos. As aulas combinaram teoria e prática, com destaque para a discussão sobre o uso consciente da IA e a exploração de ferramentas como ChatGPT, MathGPT, Mem.Ai, NotebookLM e Elicit. As contribuições dos professores e alunos enriqueceram as discussões. A avaliação final indicou que os objetivos foram alcançados, promovendo autonomia, conhecimento prático e reflexão ética sobre o uso da IA no ambiente acadêmico. Tiveram participantes de outros estados.",Lecionação de Cursos de Extensão I,2025-01,Lecionação de Cursos de Extensão I - 2025-01
Preparação para Olimpíada Brasileira de Informática de estudantes do ensino médio euniversitários da Baixada Fluminense,Daniel Fabio Domingues Posner,2024,36,Não,Alunos da UFRRJ,Semana Rural,Evento Único,AC785 - LECIONAÇÃO DE CURSOS DE EXTENSÃO I,Melhora nos fundamentos sobre lógica de programação para os participantes do minicurso. Desenvolvimento de um minicurso em um ambiente de aprendizado virtual (moodle) e a ministração deste minicurso de forma presencial durante a semana rural. Aplicação da prova da primeira fase da Olimpíada Brasileira de Informática para os participantes que quiseram participar.,Lecionação de Cursos de Extensão I,2024,Lecionação de Cursos de Extensão I - 2024
Cursos Aplicados de Programação,Daniel Fabio Domingues Posner,2025,57,Não,Alunos da UFRRJ,,Evento Único,AC785 - LECIONAÇÃO DE CURSOS DE EXTENSÃO I,"Os minicursos desenvolvidos pelos discentes têm um grande potencial de aprimorar conceitos sobre conhecimento de aplicações de programação usando a linguagem Python. Esse conhecimento é particularmente interessante para alunos no início dos cursos de graduação que geralmente só tem contato com linguagens como C. Dessa forma, os minicursos agregam novos conhecimentos aos participantes que serão úteis no futuro durante a sua carreira.",Lecionação de Cursos de Extensão I,2025,Lecionação de Cursos de Extensão I - 2025
