Categoria,Respostas
"Educação Tecnológica (Oficinas de programação, pensamento computacional, Inteligência artificial e análise de dados, automação)",5
"Palestras e Minicursos (segurança digital, sustentabilidade tecnologia, tendências na área de TI, ferramentas de apoio à produtividade nos estudos)",5
Feiras e exposições tecnológicas,4
"Capacitação Digital (oficinas de informática básica, inclusão digital)",2
